route_type_in,route_type_out
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,3
11,11
12,12
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
300,1
400,1
401,1
402,1
403,1
404,1
405,12
500,1
600,1
700,3
701,3
702,3
703,3
704,3
705,3
706,3
707,3
708,3
709,3
710,3
711,3
712,3
713,3
714,3
715,3
716,3
800,11
900,0
901,0
902,0
903,0
904,0
905,0
906,0
1000,4
1001,4
1002,4
1003,4
1004,4
1005,4
1006,4
1007,4
1008,4
1009,4
1010,4
1011,4
1012,4
1013,4
1014,4
1015,4
1016,4
1017,4
1018,4
1019,4
1020,4
1021,4
1100,1100
1101,1100
1102,1100
1103,1100
1104,1100
1105,1100
1106,1100
1107,1100
1108,1100
1109,1100
1110,1100
1111,1100
1112,1100
1113,1100
1114,1100
1200,4
1300,6
1301,6
1302,6
1303,6
1304,6
1305,6
1306,6
1307,6
1400,7
1401,7
1402,7
1500,3
1501,3
1502,4
1503,2
1504,3
1505,3
1506,3
1507,3
1600,3
1601,3
1602,3
1603,3
1604,3
1700,3
1701,6
1702,3
